epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98838,2.54413,4.3407,2.33553,0.00299,0.41667,0.08042,0.02901,2.72123,4.21836,2.37876,0.09307,7e-05,7e-05
2,13.6772,1.67537,3.05438,1.66009,0.00292,0.45833,0.07074,0.02468,2.45154,4.18855,2.17308,0.0851352,0.00013515,0.00013515
3,20.3336,1.54345,2.42326,1.51053,0.00328,0.5,0.23995,0.12734,1.96668,3.65852,1.77857,0.0771845,0.00018446,0.00018446
4,26.7679,1.5077,2.26309,1.49638,0.00337,0.5,0.33539,0.18747,1.79616,3.33049,1.58582,0.0692179,0.00021793,0.00021793
5,33.1754,1.42349,2.02905,1.40193,0.50365,0.5,0.39439,0.24619,1.69358,3.08743,1.44051,0.0612356,0.00023556,0.00023556
6,39.4869,1.48604,2.07242,1.46763,0.9678,0.33333,0.41749,0.25238,1.73904,2.93152,1.42361,0.0532374,0.00023735,0.00023735
7,45.6672,1.3764,1.98614,1.38063,0.99716,0.33333,0.42937,0.2739,1.74848,2.89165,1.44225,0.0452233,0.0002233,0.0002233
8,52.0071,1.43704,2.08305,1.46519,1,0.35244,0.45433,0.3277,1.56106,2.81449,1.40088,0.0371934,0.00019341,0.00019341
9,58.3525,1.39366,2.03212,1.44035,1,0.37221,0.46691,0.29533,1.69151,2.64217,1.45117,0.0291477,0.00014768,0.00014768
10,64.6241,1.34604,2.02474,1.39386,1,0.37221,0.46691,0.29533,1.69151,2.64217,1.45117,0.0210861,8.611e-05,8.611e-05
